[ 09:00:36 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php" and found 3 commits
[ 09:01:02 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php
[ 09:01:02 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php" and found 3 commits
[ 09:01:13 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php
[ 09:01:14 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php" and found 3 commits
[ 09:01:17 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php
[ 09:01:17 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php" and found 3 commits
[ 09:01:20 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php
[ 09:01:20 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php" and found 3 commits
[ 09:01:21 | command ] git rev-parse --show-toplevel
[ 09:01:21 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/welcome.blade.php
[ 09:01:21 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/welcome.blade.php" and found 3 commits
[ 09:01:28 | command ] git rev-parse --show-toplevel
[ 09:01:28 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/channels.php
[ 09:01:28 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/channels.php" and found 2 commits
[ 09:01:29 | command ] git rev-parse --show-toplevel
[ 09:01:29 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/console.php
[ 09:01:29 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/console.php" and found 2 commits
[ 09:01:30 | command ] git rev-parse --show-toplevel
[ 09:01:30 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/web.php
[ 09:01:30 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/web.php" and found 26 commits
[ 09:01:38 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/web.php
[ 09:01:38 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/web.php" and found 26 commits
[ 09:02:11 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/phpunit.xml" from the internal cache
[ 09:02:14 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/server.php" from the internal cache
[ 09:02:19 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/webpack.mix.js" from the internal cache
[ 09:02:19 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php
[ 09:02:19 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php" and found 3 commits
[ 09:02:23 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/readme.md" from the internal cache
[ 09:02:25 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/log.log" from the internal cache
[ 09:02:26 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/hangrongbku.sql" from the internal cache
[ 09:02:34 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/artisan" from the internal cache
[ 09:03:10 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/composer.json" from the internal cache
[ 09:03:25 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/config/app.php" from the internal cache
[ 09:03:32 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/config/auth.php" from the internal cache
[ 09:03:36 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/config/broadcasting.php" from the internal cache
[ 09:03:44 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/config/cache.php" from the internal cache
[ 09:03:49 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/config/database.php" from the internal cache
[ 09:03:59 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/config/filesystems.php" from the internal cache
[ 09:04:06 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/config/logging.php" from the internal cache
[ 09:04:21 | command ] git rev-parse --show-toplevel
[ 09:04:21 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/.env
[ 09:04:21 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/.env" and found 5 commits
[ 09:04:29 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/.env
[ 09:04:29 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/.env" and found 5 commits
[ 09:05:21 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/welcome.blade.php" from the internal cache
[ 09:05:28 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/channels.php" from the internal cache
[ 09:05:29 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/console.php" from the internal cache
[ 09:05:38 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/routes/web.php" from the internal cache
[ 09:06:19 | info ] Clearing the file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/resources/views/email-verify.blade.php" from the internal cache
[ 09:18:19 | command ] git rev-parse --show-toplevel
[ 09:18:19 | command ] git blame --incremental -- /opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/.gitignore
[ 09:18:19 | info ] Blamed file "/opt/lampp/htdocs/TTCNPM182-N35/hangrongbku/.gitignore" and found 2 commits
